"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.Age","Answer.Automation","Answer.Education","Answer.Gender","Answer.Political","Answer.Race","Answer.Universal","Approve","Reject"
"3XEIP58NL0F33ZNCXDBD69ESMJGLZQ","3PICF97GBRFU014N03HHGMN4Y95P76","Answer a survey about automation","Give us your opinion on your thoughts about automation","survey, demographics","$0.10","Thu Nov 17 03:46:12 PST 2016","250","BatchId:2599180;","180","86400","Fri Nov 18 03:46:12 PST 2016","","","308Q0PEVB95PURVNYFP3PPGPC1DI9J","AG1SFF64IVVPL","Submitted","Thu Nov 17 21:03:34 PST 2016","Thu Nov 17 21:04:09 PST 2016","Fri Nov 18 21:04:09 PST 2016","","","","35","0% (0/0)","0% (0/0)","0% (0/0)","18-24","Unsure","College","Male","Liberal","Other","Yes"
"3XEIP58NL0F33ZNCXDBD69ESMJGLZQ","3PICF97GBRFU014N03HHGMN4Y95P76","Answer a survey about automation","Give us your opinion on your thoughts about automation","survey, demographics","$0.10","Thu Nov 17 03:46:12 PST 2016","250","BatchId:2599180;","180","86400","Fri Nov 18 03:46:12 PST 2016","","","30BUDKLTXENUDZRPZ6MVSUDVYCNE5F","A2CU75UPXCS8J6","Submitted","Thu Nov 17 21:05:36 PST 2016","Thu Nov 17 21:06:04 PST 2016","Fri Nov 18 21:06:04 PST 2016","","","","28","0% (0/0)","0% (0/0)","0% (0/0)","50-59","No","Grad","Male","Moderate","White","No"
"3XEIP58NL0F33ZNCXDBD69ESMJGLZQ","3PICF97GBRFU014N03HHGMN4Y95P76","Answer a survey about automation","Give us your opinion on your thoughts about automation","survey, demographics","$0.10","Thu Nov 17 03:46:12 PST 2016","250","BatchId:2599180;","180","86400","Fri Nov 18 03:46:12 PST 2016","","","30H4UDGLT3AWIX1L0JJS38NLYECPMY","A3D9L16WP7DA5H","Submitted","Thu Nov 17 20:16:00 PST 2016","Thu Nov 17 20:16:43 PST 2016","Fri Nov 18 20:16:43 PST 2016","","","","43","0% (0/0)","0% (0/0)","0% (0/0)","40-44","No","College","Female","Conservative","White","No"
"3XEIP58NL0F33ZNCXDBD69ESMJGLZQ","3PICF97GBRFU014N03HHGMN4Y95P76","Answer a survey about automation","Give us your opinion on your thoughts about automation","survey, demographics","$0.10","Thu Nov 17 03:46:12 PST 2016","250","BatchId:2599180;","180","86400","Fri Nov 18 03:46:12 PST 2016","","","30LB5CDZND2TTNWKYNUWW9IM5AL0ZM","A27SXNMM91NYZZ","Submitted","Thu Nov 17 21:03:54 PST 2016","Thu Nov 17 21:04:26 PST 2016","Fri Nov 18 21:04:26 PST 2016","","","","32","0% (0/0)","0% (0/0)","0% (0/0)","18-24","No","College","Male","Liberal","White","Yes"
"3XEIP58NL0F33ZNCXDBD69ESMJGLZQ","3PICF97GBRFU014N03HHGMN4Y95P76","Answer a survey about automation","Give us your opinion on your thoughts about automation","survey, demographics","$0.10","Thu Nov 17 03:46:12 PST 2016","250","BatchId:2599180;","180","86400","Fri Nov 18 03:46:12 PST 2016","","","30ZX6P7VF9NAPIUUVOVOR3NBJ9YJ28","A3OEQPP51YIIMQ","Submitted","Thu Nov 17 12:06:39 PST 2016","Thu Nov 17 12:07:31 PST 2016","Fri Nov 18 12:07:31 PST 2016","","","","52","0% (0/0)","0% (0/0)","0% (0/0)","25-29","Unsure","HS","Male","Liberal","White","Yes"
"3XEIP58NL0F33ZNCXDBD69ESMJGLZQ","3PICF97GBRFU014N03HHGMN4Y95P76","Answer a survey about automation","Give us your opinion on your thoughts about automation","survey, demographics","$0.10","Thu Nov 17 03:46:12 PST 2016","250","BatchId:2599180;","180","86400","Fri Nov 18 03:46:12 PST 2016","","","317HQ483I8KAJTZHZP887QB9HQTNIM","AODJAKK299FSJ","Submitted","Thu Nov 17 20:41:43 PST 2016","Thu Nov 17 20:42:13 PST 2016","Fri Nov 18 20:42:13 PST 2016","","","","30","0% (0/0)","0% (0/0)","0% (0/0)","40-44","No","HS","Female","Conservative","White","No"
"3XEIP58NL0F33ZNCXDBD69ESMJGLZQ","3PICF97GBRFU014N03HHGMN4Y95P76","Answer a survey about automation","Give us your opinion on your thoughts about automation","survey, demographics","$0.10","Thu Nov 17 03:46:12 PST 2016","250","BatchId:2599180;","180","86400","Fri Nov 18 03:46:12 PST 2016","","","31EUONYN2WVXNKJTZB741418F0BVOJ","A2LSZPIH5XPAS","Submitted","Thu Nov 17 09:21:57 PST 2016","Thu Nov 17 09:22:51 PST 2016","Fri Nov 18 09:22:51 PST 2016","","","","54","100% (1/1)","100% (1/1)","100% (1/1)","30-39","No","College","Male","Liberal","Other","No"
"3XEIP58NL0F33ZNCXDBD69ESMJGLZQ","3PICF97GBRFU014N03HHGMN4Y95P76","Answer a survey about automation","Give us your opinion on your thoughts about automation","survey, demographics","$0.10","Thu Nov 17 03:46:12 PST 2016","250","BatchId:2599180;","180","86400","Fri Nov 18 03:46:12 PST 2016","","","31IBVUNM9TR3H76008OEEASUN14FV5","ALK8IERMYHU5J","Submitted","Thu Nov 17 21:03:28 PST 2016","Thu Nov 17 21:04:09 PST 2016","Fri Nov 18 21:04:09 PST 2016","","","","41","0% (0/0)","0% (0/0)","0% (0/0)","30-39","Unsure","College","Male","Liberal","Other","Yes"
"3XEIP58NL0F33ZNCXDBD69ESMJGLZQ","3PICF97GBRFU014N03HHGMN4Y95P76","Answer a survey about automation","Give us your opinion on your thoughts about automation","survey, demographics","$0.10","Thu Nov 17 03:46:12 PST 2016","250","BatchId:2599180;","180","86400","Fri Nov 18 03:46:12 PST 2016","","","31IBVUNM9TR3H76008OEEASUNZRVF4","A2MTW3J0WEAWGC","Submitted","Thu Nov 17 10:20:35 PST 2016","Thu Nov 17 10:21:51 PST 2016","Fri Nov 18 10:21:51 PST 2016","","","","76","0% (0/0)","0% (0/0)","0% (0/0)","30-39","No","College","Male","Liberal","Other","Yes"
"3XEIP58NL0F33ZNCXDBD69ESMJGLZQ","3PICF97GBRFU014N03HHGMN4Y95P76","Answer a survey about automation","Give us your opinion on your thoughts about automation","survey, demographics","$0.10","Thu Nov 17 03:46:12 PST 2016","250","BatchId:2599180;","180","86400","Fri Nov 18 03:46:12 PST 2016","","","326O153BMJQPHC6IEC4EQ61NBSSEDS","AYW7RX5F70342","Submitted","Thu Nov 17 12:17:23 PST 2016","Thu Nov 17 12:17:44 PST 2016","Fri Nov 18 12:17:44 PST 2016","","","","21","0% (0/0)","0% (0/0)","0% (0/0)","25-29","Unsure","College","Male","Conservative","White","No"
